source_no,name_ko,name_en,cas_no,cas_no_original,physical_state,flash_point,correction,note
1,"1,3-부타디엔","1,3-BUTADIENE",106-99-0,106-99-0,기체(가스),-76℃,,
2,1-부텐,1-BUTENE,106-98-9,106-98-9,-,인화성가스,,
3,1-도데센,1-DODECENE,112-41-4,112-41-4,액체,77℃,,
4,1-니트로프로판,1-NITROPROPANE,108-03-2,108-03-2,액체,36℃,,
5,1-노난올,1-Nonanol,143-08-8,143-08-8,액체,74℃,,
6,1-옥텐,1-OCTENE,111-66-0,111-66-0,액체,10℃,,
7,1-테트라데센,1-TETRADECENE,1120-36-1,1120-36-1,액체,107℃,,
8,"1,4-부탄디올","1,4-BUTANEDIOL",110-63-4,110-63-4,액체,>121℃,,
9,"1,3-펜타디엔","1,3-PENTADIENE",504-60-9,504-60-9,액체,28℃,,
10,2-에틸 헥산올,2-ETHYL HEXANOL,104-76-7,104-76-7,액체,73℃,,
11,2-에틸헥산올옥탄올,2-ETHYL HEXANOL OCTANOL,104-76-7,104-76-7,액체,73℃,,
12,2-에틸헥실알코올,2-ETHYL HEXYL ALCOHOL,104-76-7,104-76-7,액체,73℃,,
13,2-에틸헥실 아크릴산,2-ETHYLHEXYL ACRYLATE,103-11-7,103-11-7,액체,86℃,,
14,2-히드록시-4 부탄산,2-HYDROXY-4 (METHYLTHIO) BUTANOIC ACID,583-91-5,583-91-5,액체,202℃,,
15,"2-메틸-1,3-프로판디올","2-METHYL-1,3-PROPANEDIOL",2163-42-0,2163-42-0,액체,127℃,,
16,2-프로필 헵탄올,2-PROPYL HEPTANOL,10042-59-8,10042-59-8,액체,87℃,,
17,2-프로필 헵탄올 데실 알코올,2-PROPYL HEPTANOL DECYL ALCOHOL,10042-59-8,10042-59-8,액체,87℃,,
18,초산,ACETIC ACID,64-19-7,64-19-7,액체,39℃,,
19,무수초산,ACETIC ANHYDRIDE,108-24-7,108-24-7,액체,49℃,,
20,아세톤,ACETONE,67-64-1,67-64-1,액체,-16.99℃,,
21,아크릴산,ACRYLIC ACID,79-10-7,79-10-7,액체,48.5℃,,
22,아크릴로니트릴,ACRYLONITRILE,107-13-1,107-13-1,액체,0℃,,
23,아디포니트릴,ADIPONITRILE,111-69-3,111-69-3,유성액체,159℃,,
24,C12-C13 알코올,Alcohol(C12-C13),67762-41-8,67762-41-8,액체,126℃,REVIEW,알코올 컷 4종(#24/25/27/44)이 같은 CAS를 공유 — UVCB 컷별 CAS 확인 필요
25,C12-C15 알코올,Alcohol(C12-C15),67762-41-8,67762-41-8,액체,126℃,,
26,에톡시에탄올,Alcohol (C12-C16) poly(7-19) ethoxylates,9036-19-5,9036-19-5,-,>149℃,REVIEW,9036-19-5는 옥틸페놀 에톡실레이트. C12-C16 알코올 에톡실레이트와 다름
27,C14-C15 알코올,Alcohol (C14-C15),67762-41-8,67762-41-8,액체,126℃,,
28,에톡시화 알콜류,Alcohol(C8-C11),71060-57-6,71060-57-6,-,-,,
29,스토다드 솔벤트,ALIPHATIC HYDROCARBON SOLVENT,8052-41-3,8052-41-3,액체,21℃,,
30,10-C13 알킬벤젠,ALKYL BENZENE,67774-74-7,67774-74-7,액체,140℃,,
31,알릴알콜,ALLYL ALCOHOL,107-18-6,107-18-6,액체,21℃,,
