berth_id,wharf_name,berth_no,berth_name,ownership_prefix,length_m,quay_structure,water_depth_m,water_depth_is_range,capacity_value,capacity_unit,capacity_suspect,unload_value,unload_unit,handling_cargo_name,operator_name,address,built_year,built_by,quay_length_raw,water_depth_raw,capacity_raw,unload_raw,port_code,spec_source,concurrent_vessels,port_name,note,name_source,length_basis
SK1부두-1선석,SK1부두,1.0,SK1부두1선석,국,130.0,중력식,7.5,False,5000.0,DWT,False,16000.0,Bbls,유류,SK에너지(주),울산광역시 남구 고사동 110번지 일원,1996.0,국가,130m(중력식),7.5m,"5,000DWT / 1척","16,000Bbls",PORT0000000001,UPA_WEB,,,,UPA_API,BERTH
SK1부두-2선석,SK1부두,2.0,SK1부두2선석,국,130.0,중력식,7.5,False,5000.0,DWT,False,16000.0,Bbls,유류,SK에너지(주),울산광역시 남구 고사동 110번지 일원,1996.0,국가,130m(중력식),7.5m,"5,000DWT / 2척","16,000Bbls",PORT0000000002,UPA_WEB,,,,UPA_API,BERTH
SK2부두,SK2부두,,SK2부두,국,150.0,중력식,7.5,False,5000.0,DWT,False,,,유류,SK에너지(주),울산광역시 남구 고사동 17-2번지,1967.0,국가 및 민간,150m(중력식),7.5m,"5,000DWT / 2척",,PORT0000000003,UPA_WEB,,,,UPA_WEB,BERTH
1부두,1부두,,1부두,,149.0,잔교식,8.0,False,5000.0,DWT,False,375.0,천 톤,"사료부원료,잡화 등",울산항만운영(주),울산광역시 남구 여천동 187-12,1972.0,국가,149m(잔교식),8m,"5,000DWT / 1척",375천 톤,PORT0000000004,UPA_WEB,,,,UPA_API,BERTH
2부두-1선석,2부두,1.0,2부두1선석,,170.0,잔교식,12.0,False,40000.0,DWT,False,2394.0,천 톤,일반화물액체화물,울산항만운영(주),울산광역시 남구 여천동 187-12,1969.0,국가,170m(잔교식),12m,"40,000DWT / 1척","2,394천 톤",PORT0000000005,UPA_WEB,,,,UPA_API,BERTH
2부두-2선석,2부두,2.0,2부두2선석,,298.0,중력식,12.0,False,20000.0,DWT,False,2394.0,천 톤,일반화물액체화물,울산항만운영(주),울산광역시 남구 여천동 187-12,1969.0,국가,298m(중력식),12m,"20,000DWT / 1척","2,394천 톤",PORT0000000006,UPA_WEB,,,,UPA_API,BERTH
2부두-3선석,2부두,3.0,2부두3선석,,132.0,중력식,12.0,False,5000.0,DWT,False,2394.0,천 톤,일반화물액체화물,울산항만운영(주),울산광역시 남구 여천동 187-12,1969.0,국가,132m(중력식),12m,"5,000DWT / 1척","2,394천 톤",PORT0000000007,UPA_WEB,,,,UPA_API,BERTH
3부두-1선석,3부두,1.0,3부두1선석,,,중력식,9.0,False,10000.0,DWT,False,1202.0,천 톤,"석유정제품 가스,광석 등",울산항만운영(주),울산광역시 남구 매암동 472번지 일원,1971.0,국가,347m(중력식),9m,"10,000DWT / 2척","1,202천 톤",PORT0000000008,UPA_WEB,,,,UPA_API,WHARF_TOTAL
3부두-2선석,3부두,2.0,3부두2선석,,,중력식,9.0,False,10000.0,DWT,False,1202.0,천 톤,"석유정제품 가스,광석 등",(주)신흥사,울산광역시 남구 매암동 472번지 일원,1980.0,국가,347m(중력식),9m,"10,000DWT / 2척","1,202천 톤",PORT0000000009,UPA_WEB,,,,UPA_API,WHARF_TOTAL
4부두-1선석,4부두,1.0,4부두1선석,,210.0,중력식,11.0,False,20000.0,DWT,False,1495.0,천 톤,"화학공업생산품,비료 등",(주)신흥사,울산광역시 남구 매암동 472번지 일원,1966.0,국가,210m(중력식),11m,"20,000DWT / 1척","1,495천 톤",PORT0000000010,UPA_WEB,,,,UPA_API,BERTH
4부두-2선석,4부두,2.0,4부두2선석,,114.0,중력식,9.0,False,5000.0,DWT,False,1495.0,천 톤,"화학공업생산품,비료 등",(주)신흥사,울산광역시 남구 매암동 472번지 일원,1971.0,국가,114m(중력식),9m,"5,000DWT / 1척","1,495천 톤",PORT0000000011,UPA_WEB,,,,UPA_API,BERTH
5부두,5부두,,5부두,,220.0,중력식,11.5,False,20000.0,DWT,False,549.0,천 톤,"철강제품,기계부품 등",고려항만(주),울산광역시 남구 매암동 472번지 일원,1980.0,국가,220m(중력식),11.5m,"20,000DWT / 1척",549천 톤,PORT0000000012,UPA_WEB,,,,UPA_API,BERTH
6부두-1선석,6부두,1.0,6부두1선석,,,잔교식,12.0,False,30000.0,DWT,False,3564.0,천 톤,"중장비,비료, 광석 등",고려항만(주),"울산광역시 남구 매암동 1-3번지, 360번지 일원",1994.0,국가,990m 390m(잔교식) 600m(중력식),12m,"30,000DWT / 4척","3,564천 톤",PORT0000000013,UPA_WEB,,,,UPA_API,
6부두-2선석,6부두,2.0,6부두2선석,,,잔교식,12.0,False,30000.0,DWT,False,3564.0,천 톤,"중장비,비료, 광석 등",고려항만(주),"울산광역시 남구 매암동 1-3번지, 360번지 일원",1994.0,국가,990m 390m(잔교식)  600m(중력식),12m,"30,000DWT / 4척","3,564천 톤",PORT0000000014,UPA_WEB,,,,UPA_API,
6부두-3선석,6부두,3.0,6부두3선석,,,중력식,12.0,False,30000.0,DWT,False,3564.0,천 톤,"중장비,비료, 광석 등",한국보팍터미날,"울산광역시 남구 매암동 1-3번지, 360번지 일원",1994.0,국가,990m 390m(중력식) 600m(잔교식),12m,"30,000DWT / 4척","3,564천 톤",PORT0000000015,UPA_WEB,,,,UPA_API,
6부두-4선석,6부두,4.0,6부두4선석,,,중력식,12.0,False,30000.0,DWT,False,3564.0,천 톤,"중장비,비료, 광석 등","울산항6,7부두운영","울산광역시 남구 매암동 1-3번지, 360번지 일원",1994.0,국가,990m 390m(중력식)  600m(잔교식),12m,"30,000DWT / 4척","3,564천 톤",PORT0000000016,UPA_WEB,,,,UPA_API,
6부두-5선석,6부두,5.0,6부두5선석,,,중력식,12.0,False,30000.0,DWT,False,3564.0,천 톤,"중장비,비료, 광석 등","울산항6,7부두운영","울산광역시 남구 매암동 1-3번지, 360번지 일원",1994.0,국가,990m 390m(중력식) 600m(잔교식),12m,"30,000DWT / 4척","3,564천 톤",PORT0000000017,UPA_WEB,,,,UPA_API,
7부두,7부두,,7부두,,210.0,잔교식,11.0,False,20000.0,DWT,False,509.0,천 톤,"기계부품,비료 등","울산항6,7부두운영","울산광역시 남구 매암동 1번지, 354번지, 359번지 일원",1996.0,국가,210m(잔교식),11m,"20,000DWT / 1척",509천 톤,PORT0000000018,UPA_WEB,,,,UPA_API,BERTH
8부두-1선석,8부두,1.0,8부두1선석,,,중력식,11.0,False,20000.0,DWT,False,1208.0,천 톤,"코르크, 비료,광석 등","울산항6,7부두운영",울산광역시 남구 매암동 1-17,2002.0,국가,375m(중력식),11m,"20,000DWT / 1척","1,208천 톤",PORT0000000019,UPA_WEB,,,,UPA_API,WHARF_TOTAL
8부두-2선석,8부두,2.0,8부두2선석,,,중력식,11.0,False,10000.0,DWT,False,1208.0,천 톤,"코르크, 비료,광석 등",울산항만공사,울산광역시 남구 매암동 1-17,2002.0,국가,375m(중력식),11m,"10,000DWT / 1척","1,208천 톤",PORT0000000020,UPA_WEB,,,,UPA_API,WHARF_TOTAL
9부두,9부두,,9부두,,150.0,중력식,8.0,False,5000.0,DWT,False,375.0,천 톤,"광석, 비료,석유정제품 등",울산항만공사,울산광역시 남구 매암동 139-45,2003.0,국가,150m(중력식),8m,"5,000DWT / 1척",375천 톤,PORT0000000021,UPA_WEB,,,,UPA_API,BERTH
SK2부두-1선석,SK2부두,1.0,SK2부두1선석,,,잔교식,8.0,False,,DWT,False,,,유류,SK에너지(주),울산광역시 남구 고사동 17-2번지,1967.0,국가 및 민간,430m(잔교식),8m,"3,000DWT / 2척4,000DWT / 1척6,000DWT / 1척",,PORT0000000022,UPA_WEB,,,,UPA_WEB,AMBIGUOUS
SK2부두-2선석,SK2부두,2.0,SK2부두2선석,,,잔교식,8.0,False,,DWT,False,,,유류,SK에너지(주),울산광역시 남구 고사동 17-2번지,1967.0,국가 및 민간,430m(잔교식),8m,"3,000DWT / 2척4,000DWT / 1척6,000DWT / 1척",,PORT0000000023,UPA_WEB,,,,UPA_WEB,AMBIGUOUS
SK2부두-3선석,SK2부두,3.0,SK2부두3선석,,,잔교식,8.0,False,,DWT,False,,,유류,SK에너지(주),울산광역시 남구 고사동 17-2번지,1967.0,국가 및 민간,430m(잔교식),8m,"3,000DWT / 2척4,000DWT / 1척6,000DWT / 1척",,PORT0000000024,UPA_WEB,,,,UPA_WEB,AMBIGUOUS
SK2부두-4선석,SK2부두,4.0,SK2부두4선석,,,잔교식,8.0,False,,DWT,False,,,유류,SK에너지(주),울산광역시 남구 고사동 17-2번지,1967.0,국가 및 민간,430m(잔교식),8m,"3,000DWT / 2척4,000DWT / 1척6,000DWT / 1척",,PORT0000000025,UPA_WEB,,,,UPA_WEB,AMBIGUOUS
SK2부이,SK2부이,,SK2부이,,,,27.0,False,325000.0,DWT,False,,,원유,SK에너지(주),울산광역시 남구 용잠동 해상,1978.0,민간,,27m,"325,000DWT / 2척",,PORT0000000026,UPA_WEB,,,,UPA_API,
SK3부두,SK3부두,,SK3부두,,130.0,강관돌핀,12.0,False,50000.0,DWT,False,10000.0,Bbls,유류,SK에너지(주),울산광역시 남구 용잠동 수역,1966.0,민간,130m(강관돌핀),12m,"50,000DWT / 1척","10,000Bbls",PORT0000000027,UPA_WEB,,,,UPA_API,BERTH
SK3부이,SK3부이,,SK3부이,,,,27.0,False,325000.0,DWT,False,,,원유,SK에너지(주),울산광역시 남구 용잠동 해상,1996.0,민간,,27m,"325,000DWT / 2척",,PORT0000000028,UPA_WEB,,,,UPA_API,
SK4부두-1선석,SK4부두,1.0,SK4부두1선석,,,강관돌핀,10.0,False,,DWT,False,24000.0,Bbls,유류,SK에너지(주),울산광역시 남구 용잠동 수역,1978.0,민간,228m(강관돌핀),10m,"1,000DWT / 1척4,000DWT / 2척","24,000Bbls",PORT0000000029,UPA_WEB,,,,UPA_API,WHARF_TOTAL
SK4부두-2선석,SK4부두,2.0,SK4부두2선석,,,강관돌핀,10.0,False,,DWT,False,24000.0,Bbls,유류,SK에너지(주),울산광역시 남구 용잠동 수역,1978.0,민간,228m(강관돌핀),10m,"1,000DWT / 1척4,000DWT / 2척","24,000Bbls",PORT0000000030,UPA_WEB,,,,UPA_API,WHARF_TOTAL
SK4부두-3선석,SK4부두,3.0,SK4부두3선석,,,강관돌핀,10.0,False,,DWT,False,24000.0,Bbls,유류,SK에너지(주),울산광역시 남구 용잠동 수역,1978.0,민간,228m(강관돌핀),10m,"1,000DWT / 1척4,000DWT / 2척","24,000Bbls",PORT0000000031,UPA_WEB,,,,UPA_API,WHARF_TOTAL
SK5부두-1선석,SK5부두,1.0,SK5부두1선석,,,강관돌핀,11.0,False,,DWT,False,34000.0,Bbls,유류,SK에너지(주),울산광역시 남구 용잠동 수역,1993.0,민간,798m(강관돌핀),11m,"2,000DWT / 2척4,000DWT / 1척5,000DWT / 1척15,000DWT / 1척","34,000Bbls",PORT0000000032,UPA_WEB,,,,UPA_API,WHARF_TOTAL
SK5부두-2선석,SK5부두,2.0,SK5부두2선석,,,강관돌핀,11.0,False,,DWT,False,34000.0,Bbls,유류,SK에너지(주),울산광역시 남구 용잠동 수역,1993.0,민간,798m(강관돌핀),11m,"2,000DWT / 2척4,000DWT / 1척5,000DWT / 1척15,000DWT / 1척","34,000Bbls",PORT0000000033,UPA_WEB,,,,UPA_API,WHARF_TOTAL
