port_code,seq,list_name,list_address,list_operator,list_built_year,port_gubun,부두/선석명,소재지,준공년도,준공주체,안벽길이,수심,접안능력,하역능력,운영사,주요취급화물,fetched_at_utc
PORT0000000001,1,(국)SK1부두1선석,울산광역시 남구 고사동 110번지 일원,SK에너지(주),1996,울산본항,(국)SK1부두1선석,울산광역시 남구 고사동 110번지 일원,1996,국가,130m(중력식),7.5m,"5,000DWT / 1척","16,000Bbls",SK에너지(주),유류,2026-09-19T13:59:08.119569+00:00
PORT0000000002,2,(국)SK1부두2선석,울산광역시 남구 고사동 110번지 일원,SK에너지(주),1996,울산본항,(국)SK1부두2선석,울산광역시 남구 고사동 110번지 일원,1996,국가,130m(중력식),7.5m,"5,000DWT / 2척","16,000Bbls",SK에너지(주),유류,2026-09-19T13:59:08.119569+00:00
PORT0000000003,3,(국)SK2부두,울산광역시 남구 고사동 17-2번지,SK에너지(주),1967,울산본항,(국)SK2부두,울산광역시 남구 고사동 17-2번지,1967,국가 및 민간,150m(중력식),7.5m,"5,000DWT / 2척",,SK에너지(주),유류,2026-09-19T13:59:08.119569+00:00
PORT0000000004,4,1부두,울산광역시 남구 여천동 187-12,울산항만운영(주),1972,울산본항,1부두,울산광역시 남구 여천동 187-12,1972,국가,149m(잔교식),8m,"5,000DWT / 1척",375천 톤,울산항만운영(주),"사료부원료,잡화 등",2026-09-19T13:59:08.119569+00:00
PORT0000000005,5,2부두1선석,울산광역시 남구 여천동 187-12,울산항만운영(주),1969,울산본항,2부두1선석,울산광역시 남구 여천동 187-12,1969,국가,170m(잔교식),12m,"40,000DWT / 1척","2,394천 톤",울산항만운영(주),일반화물액체화물,2026-09-19T13:59:08.119569+00:00
PORT0000000006,6,2부두2선석,울산광역시 남구 여천동 187-12,울산항만운영(주),1969,울산본항,2부두2선석,울산광역시 남구 여천동 187-12,1969,국가,298m(중력식),12m,"20,000DWT / 1척","2,394천 톤",울산항만운영(주),일반화물액체화물,2026-09-19T13:59:08.119569+00:00
PORT0000000007,7,2부두3선석,울산광역시 남구 여천동 187-12,울산항만운영(주),1969,울산본항,2부두3선석,울산광역시 남구 여천동 187-12,1969,국가,132m(중력식),12m,"5,000DWT / 1척","2,394천 톤",울산항만운영(주),일반화물액체화물,2026-09-19T13:59:08.119569+00:00
PORT0000000008,8,3부두1선석,울산광역시 남구 매암동 472번지 일원,울산항만운영(주),1971,울산본항,3부두1선석,울산광역시 남구 매암동 472번지 일원,1971,국가,347m(중력식),9m,"10,000DWT / 2척","1,202천 톤",울산항만운영(주),"석유정제품 가스,광석 등",2026-09-19T13:59:08.119569+00:00
PORT0000000009,9,3부두2선석,울산광역시 남구 매암동 472번지 일원,(주)신흥사,1980,울산본항,3부두2선석,울산광역시 남구 매암동 472번지 일원,1980,국가,347m(중력식),9m,"10,000DWT / 2척","1,202천 톤",(주)신흥사,"석유정제품 가스,광석 등",2026-09-19T13:59:08.119569+00:00
PORT0000000010,10,4부두1선석,울산광역시 남구 매암동 472번지 일원,(주)신흥사,1966,울산본항,4부두1선석,울산광역시 남구 매암동 472번지 일원,1966,국가,210m(중력식),11m,"20,000DWT / 1척","1,495천 톤",(주)신흥사,"화학공업생산품,비료 등",2026-09-19T13:59:08.119569+00:00
PORT0000000011,11,4부두2선석,울산광역시 남구 매암동 472번지 일원,(주)신흥사,1971,울산본항,4부두2선석,울산광역시 남구 매암동 472번지 일원,1971,국가,114m(중력식),9m,"5,000DWT / 1척","1,495천 톤",(주)신흥사,"화학공업생산품,비료 등",2026-09-19T13:59:08.119569+00:00
PORT0000000012,12,5부두,울산광역시 남구 매암동 472번지 일원,고려항만(주),1980,울산본항,5부두,울산광역시 남구 매암동 472번지 일원,1980,국가,220m(중력식),11.5m,"20,000DWT / 1척",549천 톤,고려항만(주),"철강제품,기계부품 등",2026-09-19T13:59:08.119569+00:00
PORT0000000013,13,6부두1선석,"울산광역시 남구 매암동 1-3번지, 360번지 일원",고려항만(주),1994,울산본항,6부두1선석,"울산광역시 남구 매암동 1-3번지, 360번지 일원",1994,국가,990m 390m(잔교식) 600m(중력식),12m,"30,000DWT / 4척","3,564천 톤",고려항만(주),"중장비,비료, 광석 등",2026-09-19T13:59:08.119569+00:00
PORT0000000014,14,6부두2선석,"울산광역시 남구 매암동 1-3번지, 360번지 일원",고려항만(주),1994,울산본항,6부두2선석,"울산광역시 남구 매암동 1-3번지, 360번지 일원",1994,국가,990m 390m(잔교식)  600m(중력식),12m,"30,000DWT / 4척","3,564천 톤",고려항만(주),"중장비,비료, 광석 등",2026-09-19T13:59:08.119569+00:00
PORT0000000015,15,6부두3선석,"울산광역시 남구 매암동 1-3번지, 360번지 일원",한국보팍터미날,1994,울산본항,6부두3선석,"울산광역시 남구 매암동 1-3번지, 360번지 일원",1994,국가,990m 390m(중력식) 600m(잔교식),12m,"30,000DWT / 4척","3,564천 톤",한국보팍터미날,"중장비,비료, 광석 등",2026-09-19T13:59:08.119569+00:00
PORT0000000016,16,6부두4선석,"울산광역시 남구 매암동 1-3번지, 360번지 일원","울산항6,7부두운영",1994,울산본항,6부두4선석,"울산광역시 남구 매암동 1-3번지, 360번지 일원",1994,국가,990m 390m(중력식)  600m(잔교식),12m,"30,000DWT / 4척","3,564천 톤","울산항6,7부두운영","중장비,비료, 광석 등",2026-09-19T13:59:08.119569+00:00
PORT0000000017,17,6부두5선석,"울산광역시 남구 매암동 1-3번지, 360번지 일원","울산항6,7부두운영",1994,울산본항,6부두5선석,"울산광역시 남구 매암동 1-3번지, 360번지 일원",1994,국가,990m 390m(중력식) 600m(잔교식),12m,"30,000DWT / 4척","3,564천 톤","울산항6,7부두운영","중장비,비료, 광석 등",2026-09-19T13:59:08.119569+00:00
PORT0000000018,18,7부두,"울산광역시 남구 매암동 1번지, 354번지, 359번지 일원","울산항6,7부두운영",1996,울산본항,7부두,"울산광역시 남구 매암동 1번지, 354번지, 359번지 일원",1996,국가,210m(잔교식),11m,"20,000DWT / 1척",509천 톤,"울산항6,7부두운영","기계부품,비료 등",2026-09-19T13:59:08.119569+00:00
PORT0000000019,19,8부두1선석,울산광역시 남구 매암동 1-17,"울산항6,7부두운영",2002,울산본항,8부두1선석,울산광역시 남구 매암동 1-17,2002,국가,375m(중력식),11m,"20,000DWT / 1척","1,208천 톤","울산항6,7부두운영","코르크, 비료,광석 등",2026-09-19T13:59:08.119569+00:00
PORT0000000020,20,8부두2선석,울산광역시 남구 매암동 1-17,울산항만공사,2002,울산본항,8부두2선석,울산광역시 남구 매암동 1-17,2002,국가,375m(중력식),11m,"10,000DWT / 1척","1,208천 톤",울산항만공사,"코르크, 비료,광석 등",2026-09-19T13:59:08.119569+00:00
PORT0000000021,21,9부두,울산광역시 남구 매암동 139-45,울산항만공사,2003,울산본항,9부두,울산광역시 남구 매암동 139-45,2003,국가,150m(중력식),8m,"5,000DWT / 1척",375천 톤,울산항만공사,"광석, 비료,석유정제품 등",2026-09-19T13:59:08.119569+00:00
PORT0000000022,22,SK2부두1선석,울산광역시 남구 고사동 17-2번지,SK에너지(주),1967,울산본항,SK2부두1선석,울산광역시 남구 고사동 17-2번지,1967,국가 및 민간,430m(잔교식),8m,"3,000DWT / 2척4,000DWT / 1척6,000DWT / 1척",,SK에너지(주),유류,2026-09-19T13:59:08.119569+00:00
PORT0000000023,23,SK2부두2선석,울산광역시 남구 고사동 17-2번지,SK에너지(주),1967,울산본항,SK2부두2선석,울산광역시 남구 고사동 17-2번지,1967,국가 및 민간,430m(잔교식),8m,"3,000DWT / 2척4,000DWT / 1척6,000DWT / 1척",,SK에너지(주),유류,2026-09-19T13:59:08.119569+00:00
PORT0000000024,24,SK2부두3선석,울산광역시 남구 고사동 17-2번지,SK에너지(주),1967,울산본항,SK2부두3선석,울산광역시 남구 고사동 17-2번지,1967,국가 및 민간,430m(잔교식),8m,"3,000DWT / 2척4,000DWT / 1척6,000DWT / 1척",,SK에너지(주),유류,2026-09-19T13:59:08.119569+00:00
PORT0000000025,25,SK2부두4선석,울산광역시 남구 고사동 17-2번지,SK에너지(주),1967,울산본항,SK2부두4선석,울산광역시 남구 고사동 17-2번지,1967,국가 및 민간,430m(잔교식),8m,"3,000DWT / 2척4,000DWT / 1척6,000DWT / 1척",,SK에너지(주),유류,2026-09-19T13:59:08.119569+00:00
PORT0000000026,26,SK2부이,울산광역시 남구 용잠동 해상,SK에너지(주),1978,울산본항,SK2부이,울산광역시 남구 용잠동 해상,1978,민간,,27m,"325,000DWT / 2척",,SK에너지(주),원유,2026-09-19T13:59:08.119569+00:00
PORT0000000027,27,SK3부두,울산광역시 남구 용잠동 수역,SK에너지(주),1966,울산본항,SK3부두,울산광역시 남구 용잠동 수역,1966,민간,130m(강관돌핀),12m,"50,000DWT / 1척","10,000Bbls",SK에너지(주),유류,2026-09-19T13:59:08.119569+00:00
PORT0000000028,28,SK3부이,울산광역시 남구 용잠동 해상,SK에너지(주),1996,울산본항,SK3부이,울산광역시 남구 용잠동 해상,1996,민간,,27m,"325,000DWT / 2척",,SK에너지(주),원유,2026-09-19T13:59:08.119569+00:00
PORT0000000029,29,SK4부두1선석,울산광역시 남구 용잠동 수역,SK에너지(주),1978,울산본항,SK4부두1선석,울산광역시 남구 용잠동 수역,1978,민간,228m(강관돌핀),10m,"1,000DWT / 1척4,000DWT / 2척","24,000Bbls",SK에너지(주),유류,2026-09-19T13:59:08.119569+00:00
PORT0000000030,30,SK4부두2선석,울산광역시 남구 용잠동 수역,SK에너지(주),1978,울산본항,SK4부두2선석,울산광역시 남구 용잠동 수역,1978,민간,228m(강관돌핀),10m,"1,000DWT / 1척4,000DWT / 2척","24,000Bbls",SK에너지(주),유류,2026-09-19T13:59:08.119569+00:00
PORT0000000031,31,SK4부두3선석,울산광역시 남구 용잠동 수역,SK에너지(주),1978,울산본항,SK4부두3선석,울산광역시 남구 용잠동 수역,1978,민간,228m(강관돌핀),10m,"1,000DWT / 1척4,000DWT / 2척","24,000Bbls",SK에너지(주),유류,2026-09-19T13:59:08.119569+00:00
PORT0000000032,32,SK5부두1선석,울산광역시 남구 용잠동 수역,SK에너지(주),1993,울산본항,SK5부두1선석,울산광역시 남구 용잠동 수역,1993,민간,798m(강관돌핀),11m,"2,000DWT / 2척4,000DWT / 1척5,000DWT / 1척15,000DWT / 1척","34,000Bbls",SK에너지(주),유류,2026-09-19T13:59:08.119569+00:00
PORT0000000033,33,SK5부두2선석,울산광역시 남구 용잠동 수역,SK에너지(주),1993,울산본항,SK5부두2선석,울산광역시 남구 용잠동 수역,1993,민간,798m(강관돌핀),11m,"2,000DWT / 2척4,000DWT / 1척5,000DWT / 1척15,000DWT / 1척","34,000Bbls",SK에너지(주),유류,2026-09-19T13:59:08.119569+00:00
PORT0000000034,34,SK5부두3선석,울산광역시 남구 용잠동 수역,SK에너지(주),1993,울산본항,SK5부두3선석,울산광역시 남구 용잠동 수역,1993,민간,798m(강관돌핀),11m,"2,000DWT / 2척4,000DWT / 1척5,000DWT / 1척15,000DWT / 1척","34,000Bbls",SK에너지(주),유류,2026-09-19T13:59:08.119569+00:00
