facility_cd,facility_sub_code,facility_nm,wharf_name,berth_id,match_level,confidence,gap_reason
MB1,01,1부두 01,1부두,1부두,BERTH,AUTO_COUNT_MATCH,
MB2,01,2부두 01,2부두,2부두-1선석,BERTH,AUTO_COUNT_MATCH,
MB2,02,2부두 02,2부두,2부두-2선석,BERTH,AUTO_COUNT_MATCH,
MB2,03,2부두 03,2부두,2부두-3선석,BERTH,AUTO_COUNT_MATCH,
MB3,01,3부두 01,3부두,3부두-1선석,BERTH,AUTO_COUNT_MATCH,
MB3,02,3부두 02,3부두,3부두-2선석,BERTH,AUTO_COUNT_MATCH,
MB4,01,4부두 01,4부두,4부두-1선석,BERTH,AUTO_COUNT_MATCH,
MB4,02,4부두 02,4부두,4부두-2선석,BERTH,AUTO_COUNT_MATCH,
MB6,02,6부두 02,6부두,,WHARF,COUNT_MISMATCH,
MB6,03,6부두 03,6부두,,WHARF,COUNT_MISMATCH,
MB6,04,6부두 04,6부두,,WHARF,COUNT_MISMATCH,
MB6,05,6부두 05,6부두,,WHARF,COUNT_MISMATCH,
MB7,01,7부두 01,7부두,7부두,BERTH,AUTO_COUNT_MATCH,
MB8,01,8부두 01,8부두,8부두-1선석,BERTH,AUTO_COUNT_MATCH,
MB8,02,8부두 02,8부두,8부두-2선석,BERTH,AUTO_COUNT_MATCH,
MB9,01,9부두 01,9부두,9부두,BERTH,AUTO_COUNT_MATCH,
MDW,02,OTK부두,OTK1부두,,WHARF,COUNT_MISMATCH,
MBD,01,S-OIL 4부두 01,S-Oil 4부두,S-Oil 4부두-1선석,BERTH,AUTO_COUNT_MATCH,
MBD,02,S-OIL 4부두 02,S-Oil 4부두,S-Oil 4부두-2선석,BERTH,AUTO_COUNT_MATCH,
MBD,03,S-OIL 4부두 03,S-Oil 4부두,S-Oil 4부두-3선석,BERTH,AUTO_COUNT_MATCH,
MDS,01,S-OIL1부두,S-Oil 1부두,,WHARF,COUNT_MISMATCH,
MDS,02,S-OIL2부두,S-Oil 2부두,,WHARF,COUNT_MISMATCH,
MDS,03,S-OIL3부두,S-Oil 3부두,,WHARF,COUNT_MISMATCH,
MUD,01,S-OIL부이 01,S-Oil부이,,WHARF,COUNT_MISMATCH,
MUD,02,S-OIL부이 02,S-Oil부이,,WHARF,COUNT_MISMATCH,
MBU,11,SK1부두 11,SK1부두,SK1부두-1선석,BERTH,AUTO_COUNT_MATCH,
MBU,12,SK1부두 12,SK1부두,SK1부두-2선석,BERTH,AUTO_COUNT_MATCH,
MBU,01,SK2부두 01,SK2부두,,WHARF,COUNT_MISMATCH,
MBU,02,SK2부두 02,SK2부두,,WHARF,COUNT_MISMATCH,
MDU,03,SK3부두,SK3부두,SK3부두,BERTH,AUTO_COUNT_MATCH,
MDU,04,SK4부두,SK4부두,,WHARF,COUNT_MISMATCH,
MDU,05,SK5부두,SK5부두,,WHARF,COUNT_MISMATCH,
MDU,06,SK6부두,SK6부두,SK6부두,BERTH,AUTO_COUNT_MATCH,
MDU,07,SK7부두,SK7부두,SK7부두,BERTH,AUTO_COUNT_MATCH,
MDU,08,SK8부두,SK8부두,SK8부두,BERTH,AUTO_COUNT_MATCH,
MUY,02,SK부이 02,SK2부이,SK2부이,BERTH,MANUAL,
MUY,03,SK부이 03,SK3부이,SK3부이,BERTH,MANUAL,
MBN,19,UTK 신항부두,UTK 신항부두,UTK 신항부두,BERTH,AUTO_COUNT_MATCH,
MBR,01,UTK부두,UTK부두,,WHARF,COUNT_MISMATCH,
MDY,02,UTT부두,UTT부두,UTT부두,BERTH,AUTO_COUNT_MATCH,
MBL,01,가스부두,가스부두,,WHARF,COUNT_MISMATCH,
MLU,01,남화부두,남화부두,,WHARF,COUNT_MISMATCH,
MBK,01,달포부두 01,달포부두,,WHARF,COUNT_MISMATCH,
MBN,17,대한통운신항부두,대한통운신항부두,대한통운신항부두,BERTH,AUTO_COUNT_MATCH,
MQP,01,미포부두 01,미포부두,미포부두,BERTH,AUTO_COUNT_MATCH,
MBN,31,북신항 액체부두01,북신항 액체부두,북신항 액체부두,BERTH,AUTO_COUNT_MATCH,
MBN,22,북신항 에너지부두02,,,KNOWN_GAP,CONFIRMED_NO_SOURCE,공사·계획 단계. 보도상 접안능력이 계획에서 변경됐고 준공 전 수치는 감사 기준으로 쓸 수 없다
MBN,24,북신항 에너지부두04,,,KNOWN_GAP,CONFIRMED_NO_SOURCE,공사·계획 단계(위와 같음)
MBT,01,석탄부두 01,석탄부두,석탄부두,BERTH,AUTO_COUNT_MATCH,
MBF,01,신항남방파제T/S부두 01,신항남방파제 T/S부두,신항남방파제 T/S부두-1선석,BERTH,AUTO_COUNT_MATCH,
MBF,02,신항남방파제T/S부두 02,신항남방파제 T/S부두,신항남방파제 T/S부두-2선석,BERTH,AUTO_COUNT_MATCH,
MBF,03,신항북방파제T/S부두 01,신항북방파제 T/S부두,,WHARF,COUNT_MISMATCH,
MBN,01,신항일반부두 01,신항일반부두,신항일반부두-1선석,BERTH,AUTO_COUNT_MATCH,
MBN,02,신항일반부두 02,신항일반부두,신항일반부두-2선석,BERTH,AUTO_COUNT_MATCH,
MBC,01,신항컨테이너부두 01,신항컨부두,신항컨부두-1선석,BERTH,AUTO_COUNT_MATCH,
MBC,02,신항컨테이너부두 02,신항컨부두,신항컨부두-2선석,BERTH,AUTO_COUNT_MATCH,
MBC,03,신항컨테이너부두 03,신항컨부두,신항컨부두-3선석,BERTH,AUTO_COUNT_MATCH,
MBC,04,신항컨테이너부두 04,신항컨부두,신항컨부두-4선석,BERTH,AUTO_COUNT_MATCH,
MBN,16,엘에스엠앤엠신항부두,LS MNM 신항부두,LS MNM 신항부두,BERTH,AUTO_COUNT_MATCH,
MBP,01,염포부두 01,염포부두,,WHARF,COUNT_MISMATCH,
MBP,02,염포부두 02,염포부두,,WHARF,COUNT_MISMATCH,
MBO,01,온산1부두,온산1부두,온산1부두,BERTH,AUTO_COUNT_MATCH,
MBO,02,온산2부두,온산2부두,온산2부두,BERTH,AUTO_COUNT_MATCH,
MBN,26,용연부두 01,용연부두,용연부두-1선석,BERTH,AUTO_COUNT_MATCH,
MBN,27,용연부두 02,용연부두,용연부두-2선석,BERTH,AUTO_COUNT_MATCH,
MBY,01,용잠부두 01,용잠1부두,용잠1부두,BERTH,MANUAL,
MBY,03,용잠부두 02,용잠2부두,용잠2부두,BERTH,MANUAL,
MDW,01,유화1부두,대한유화부두,,WHARF,COUNT_MISMATCH,
MWI,01,이진소형선부두,,,KNOWN_GAP,CONFIRMED_NO_SOURCE,세 출처 모두에 없음. 소형선 전용이라 제원 공시 대상이 아닌 듯
MBG,01,일반부두 01,일반부두,,WHARF,COUNT_MISMATCH,
MBG,06,일반부두 06,일반부두,,WHARF,COUNT_MISMATCH,
MBG,07,일반부두 07,일반부두,,WHARF,COUNT_MISMATCH,
MBG,08,일반부두 08,일반부두,,WHARF,COUNT_MISMATCH,
MBJ,01,자동차부두 01,자동차부두,자동차부두-1선석,BERTH,AUTO_COUNT_MATCH,
