facility_name,port_area,berth_count,quay_length_m,berth_type,chart_depth_m,depth_min_m,depth_max_m,max_dwt,cargo_kind,operator,depth_note,source
3부두,본항,1,147,중력식,,,,10000,케미칼류,㈜신흥사,"원문 수심 표기 '9,12' — 9m/12m 두 값인지 9.12m 오기인지 불명. 안전상 판정 제외(UNKNOWN)",울산지방해양수산청 울산항시설현황
4부두,본항,2,322,중력식,11,11,11,20000,케미칼류·비료원료,㈜신흥사,,울산지방해양수산청 울산항시설현황
6부두,본항,1,200,잔교식,12,12,12,30000,케미칼류,㈜한국보팍터미널,,울산지방해양수산청 울산항시설현황
용잠부두,본항,2,155,중력식,7,7,7,3000,케미칼류,㈜태영인더스트리,안벽길이 88/155 중 최대값 기재,울산지방해양수산청 울산항시설현황
가스부두,본항,3,360,중력식,7.5,7.5,7.5,8500,LPG,SK가스㈜,,울산지방해양수산청 울산항시설현황
UTT부두,본항,1,80,돌핀,11,11,11,40000,케미칼류,㈜태영인더스트리,,울산지방해양수산청 울산항시설현황
SK1부두,본항,2,260,중력식,7.5,7.5,7.5,5000,유류,SK에너지㈜,,울산지방해양수산청 울산항시설현황
SK2부두,본항,5,580,중력식·잔교식,7.5,7.5,8,6000,유류,SK에너지㈜,"원문에 'SK2부두' 2개 행(중력식 7.5m 1선석 / 잔교식 8m 4선석). 어느 선석인지 구분 불가하므로 안전측 최소값 7.5m 적용",울산지방해양수산청 울산항시설현황
SK3부두,본항,1,130,돌핀,12,12,12,50000,유류·케미칼류,SK에너지㈜,,울산지방해양수산청 울산항시설현황
SK4부두,본항,3,228,돌핀,10,10,10,10000,유류,SK에너지㈜,,울산지방해양수산청 울산항시설현황
SK5부두,본항,5,798,돌핀,7,7,11,15000,유류,SK에너지㈜,"원문 수심 '7-11' 범위. 선석별 수심이 달라 어느 선석인지 구분 불가하므로 안전측 최소값 7m 적용",울산지방해양수산청 울산항시설현황
SK6부두,본항,1,347,돌핀,15,15,15,70000,LPG·유류,SK에너지㈜,,울산지방해양수산청 울산항시설현황
SK7부두,본항,1,370,돌핀,15,15,15,130000,유류·케미칼류,SK에너지㈜,,울산지방해양수산청 울산항시설현황
SK8부두,본항,1,400,돌핀,18,18,18,150000,원유·유류,SK에너지㈜,,울산지방해양수산청 울산항시설현황
SK부이II,본항,1,,부이,27,27,27,325000,원유,SK에너지㈜,부이 계류 — 접안이 아니므로 UKC 판정 대상에서 제외 권장,울산지방해양수산청 울산항시설현황
SK부이III,본항,1,,부이,27,27,27,325000,원유,SK에너지㈜,부이 계류 — 접안이 아니므로 UKC 판정 대상에서 제외 권장,울산지방해양수산청 울산항시설현황
효성부두,온산항,1,240,중력식,12,12,12,30000,케미칼류,㈜효성,,울산지방해양수산청 울산항시설현황
달포부두,온산항,1,125,중력식,7,7,7,3000,유류,울산항만공사,,울산지방해양수산청 울산항시설현황
UTK부두,온산항,2,287,중력식·돌핀,12,12,12,30000,케미칼류,유나이티드터미널코리아㈜,,울산지방해양수산청 울산항시설현황
대한유화부두,온산항,2,320,돌핀,12,12,12,80000,케미칼류,대한유화㈜,,울산지방해양수산청 울산항시설현황
OTK1부두,온산항,2,391,돌핀,11,11,11,40000,케미칼류,오드펠터미널코리아㈜,,울산지방해양수산청 울산항시설현황
OTK2부두,온산항,2,275,돌핀,9,9,9,10000,케미칼류,오드펠터미널코리아㈜,,울산지방해양수산청 울산항시설현황
S-Oil 1부두,온산항,2,280,돌핀,11,11,11,50000,유류·케미칼류,S-Oil㈜,,울산지방해양수산청 울산항시설현황
S-Oil 2부두,온산항,3,340,돌핀,15.5,15.5,15.5,120000,유류·케미칼류,S-Oil㈜,,울산지방해양수산청 울산항시설현황
S-Oil 3부두,온산항,2,280,돌핀,14,14,14,50000,유류·케미칼류,S-Oil㈜,,울산지방해양수산청 울산항시설현황
S-Oil 4부두,온산항,3,585,중력식,12,12,12,30000,케미칼류,S-Oil㈜,,울산지방해양수산청 울산항시설현황
정일1부두,온산항,2,354,돌핀,11,11,11,40000,케미칼류,㈜정일스톨트헤븐,,울산지방해양수산청 울산항시설현황
정일2부두,온산항,2,256,돌핀,12.5,12.5,12.5,40000,케미칼류,㈜정일스톨트헤븐,,울산지방해양수산청 울산항시설현황
S-Oil 부이,온산항,1,,부이,27,27,27,350000,원유,S-Oil㈜,부이 계류 — 접안이 아니므로 UKC 판정 대상에서 제외 권장,울산지방해양수산청 울산항시설현황
S-Oil&오일허브 부이,온산항,1,,부이,27,27,27,325000,원유,S-Oil㈜,부이 계류 — 접안이 아니므로 UKC 판정 대상에서 제외 권장,울산지방해양수산청 울산항시설현황
석유공사부이,온산항,1,,부이,27,27,27,325000,원유,한국석유공사,부이 계류 — 접안이 아니므로 UKC 판정 대상에서 제외 권장,울산지방해양수산청 울산항시설현황
정일스톨트헤븐 신항 3~5부두,울산신항,3,270,중력식,14,14,14,50000,유류,㈜정일스톨트헤븐,,울산지방해양수산청 울산항시설현황
현대오일터미널 신항부두,울산신항,1,270,중력식,14,14,14,50000,유류,현대오일터미널㈜,,울산지방해양수산청 울산항시설현황
LS니꼬 신항부두,울산신항,1,280,중력식,14,14,14,30000,유류,LS니꼬동제련㈜,,울산지방해양수산청 울산항시설현황
UTK 신항부두,울산신항,1,240,중력식,14,14,14,30000,액체화학,유나이티드터미널코리아㈜,,울산지방해양수산청 울산항시설현황
