wharf_name,facility_cd,facility_sub_code,port_name,address,berthing_vessel_count,min_water_depth_m,max_water_depth_m,min_capacity_dwt,max_capacity_dwt,min_length_m,max_length_m,total_quay_length_m,name_source,operator_count,spec_spread_flag,built_year,built_by,latitude,longitude,berth_count,depth_floored
1부두,MB1,01,울산본항,울산광역시 남구 여천동 187-12,1.0,8.0,8.0,5000.0,5000.0,149.0,149.0,149.0,UPA_API,1,False,1972.0,국가,35.53173,129.3732,1,False
2부두,MB2,01,울산본항,울산광역시 남구 여천동 187-12,1.0,9.0,12.0,5000.0,40000.0,132.0,298.0,602.0,UPA_API,1,True,1969.0,국가,35.5267807,129.3726306,3,True
3부두,MB3,01,울산본항,울산광역시 남구 매암동 472번지 일원,2.0,9.0,9.0,10000.0,10000.0,,,347.0,UPA_API,2,False,1971.0,국가,35.5221567,129.3747,2,False
4부두,MB4,01,울산본항,울산광역시 남구 매암동 472번지 일원,1.0,9.0,11.0,5000.0,20000.0,114.0,210.0,322.0,UPA_API,1,True,1966.0,국가,35.5209,129.3753,2,False
5부두,MB5,01,울산본항,울산광역시 남구 매암동 472번지 일원,1.0,11.5,11.5,20000.0,20000.0,220.0,220.0,220.0,UPA_API,1,False,1980.0,국가,35.51889,129.373743,1,False
6부두,MB6,01,울산본항,"울산광역시 남구 매암동 1-3번지, 360번지 일원",4.0,12.0,12.0,30000.0,30000.0,,,,UPA_API,3,False,1994.0,국가,35.5170847,129.3786,5,False
7부두,MB7,01,울산본항,"울산광역시 남구 매암동 1번지, 354번지, 359번지 일원",1.0,11.0,11.0,20000.0,20000.0,210.0,210.0,210.0,UPA_API,1,False,1996.0,국가,35.5165802,129.382712,1,False
8부두,MB8,01,울산본항,울산광역시 남구 매암동 1-17,1.0,11.0,11.0,10000.0,20000.0,,,375.0,UPA_API,2,True,2002.0,국가,35.5151,129.3854,2,False
9부두,MB9,01,울산본항,울산광역시 남구 매암동 139-45,1.0,8.0,8.0,5000.0,5000.0,150.0,150.0,150.0,UPA_API,1,False,2003.0,국가,35.5114,129.3857,1,False
LS MNM 신항부두,MBN,16,울산신항,"울산광역시 울주군 온산읍 산암리 955, 956번지 일원",1.0,14.0,14.0,30000.0,30000.0,280.0,280.0,280.0,UPA_API,1,False,2011.0,민간,35.43624,129.36723,1,False
