port_code,ptent_yr,voyage_no,callsgn,vessel_name,vessel_type_name,vessel_nationality_code,vessel_nationality_name,mrn_no,bl_no,master_bl_no,io_se_code,io_se_name,facility_name,cargo_se_name,cargo_name_raw,dg_un_no,chem_id,cargo_basis,package_type_name,unload_method_name,vol_ton_unit_name,vol_ton,weight_ton,vol_size,weight_size,bulk_vol_size,bulk_weight_size,container_count,pod_name,pol_name,ldud_port_name,last_dest_port_name,arrival_at_utc,customs_progress_status_name,source_system,source_table,collected_at_utc,quality_flag,is_synthetic
KRUSN,2026,163,010511,31우정호,석유제품운반선,KR,대한민국,MRN80403,BL000001,MBL19298,O,수출,S-Oil 1부두,액체,디젤 연료/경유,1202,000973,PORT-MIS 실선종 기반,벌크,펌프,TON,1664.4,1664.4,,,1830.8,1664.4,,휴스턴,울산,,,2026-07-27 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-09-22T03:54:10.873600+00:00,OK,True
KRUSN,2026,199,010511,31우정호,석유제품운반선,KR,대한민국,MRN16694,BL000002,MBL55747,I,수입,S-Oil 2부두,액체,디젤 연료/경유,1202,000973,PORT-MIS 실선종 기반,벌크,펌프,TON,40361.2,40361.2,,,44397.3,40361.2,,울산,SINGAPORE,,,2026-07-27 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-09-22T03:54:10.873600+00:00,OK,True
KRUSN,2026,070,021568,101효동케미호,석유제품운반선,KR,대한민국,MRN28986,BL000003,MBL87167,O,수출,S-Oil 3부두,액체,가솔린,1203,016420,PORT-MIS 실선종 기반,벌크,펌프,TON,8697.0,8697.0,,,9566.7,8697.0,,SINGAPORE,울산,,,2026-07-27 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-09-22T03:54:10.873600+00:00,OK,True
KRUSN,2026,007,036715,대영호,석유제품운반선,KR,대한민국,MRN70156,BL000004,MBL57110,I,수입,SK1부두,액체,가솔린,1203,016420,PORT-MIS 실선종 기반,벌크,펌프,TON,6686.9,6686.9,,,7355.6,6686.9,,울산,휴스턴,,,2026-07-27 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-09-22T03:54:10.873600+00:00,OK,True
KRUSN,2026,120,055762,제2세윤호,석유제품운반선,KR,대한민국,MRN46147,BL000005,MBL79093,O,수출,SK2부두,액체,케로신,1223,000756,PORT-MIS 실선종 기반,벌크,펌프,TON,30609.6,30609.6,,,33670.6,30609.6,,SINGAPORE,울산,,,2026-07-27 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-09-22T03:54:10.873600+00:00,OK,True
KRUSN,2026,043,055762,제2세윤호,석유제품운반선,KR,대한민국,MRN29963,BL000006,MBL29802,I,수입,SK3부두,액체,디젤 연료/경유,1202,000973,PORT-MIS 실선종 기반,벌크,펌프,TON,42824.6,42824.6,,,47107.1,42824.6,,울산,DALIAN,,,2026-07-27 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-09-22T03:54:10.873600+00:00,OK,True
KRUSN,2026,162,070928,태정호,석유제품운반선,KR,대한민국,MRN54899,BL000007,MBL45184,I,수입,SK4부두,액체,케로신,1223,000756,PORT-MIS 실선종 기반,벌크,펌프,TON,38437.1,38437.1,,,42280.8,38437.1,,울산,여수,,,2026-07-27 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-09-22T03:54:10.873600+00:00,OK,True
KRUSN,2026,169,091031,우빈호,석유제품운반선,KR,대한민국,MRN95835,BL000008,MBL45515,O,수출,SK5부두,액체,석유증류물(기타),1268,001128,PORT-MIS 실선종 기반,벌크,펌프,TON,22993.1,22993.1,,,25292.4,22993.1,,DALIAN,울산,,,2026-07-27 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-09-22T03:54:10.873600+00:00,OK,True
KRUSN,2026,071,092615,홍진호,석유제품운반선,KR,대한민국,MRN93714,BL000009,MBL62936,O,수출,SK6부두,액체,케로신,1223,000756,PORT-MIS 실선종 기반,벌크,펌프,TON,43828.8,43828.8,,,48211.7,43828.8,,DALIAN,울산,,,2026-07-27 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-09-22T03:54:10.873600+00:00,OK,True
KRUSN,2026,013,092615,홍진호,석유제품운반선,KR,대한민국,MRN11291,BL000010,MBL53459,O,수출,SK7부두,액체,가솔린,1203,016420,PORT-MIS 실선종 기반,벌크,펌프,TON,14086.9,14086.9,,,15495.6,14086.9,,DALIAN,울산,,,2026-07-27 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-09-22T03:54:10.873600+00:00,OK,True
