port_code,ptent_yr,voyage_no,callsgn,vessel_name,vessel_type_name,vessel_nationality_code,vessel_nationality_name,mrn_no,bl_no,master_bl_no,io_se_code,io_se_name,facility_name,cargo_se_name,cargo_name_raw,dg_un_no,cargo_basis,package_type_name,unload_method_name,vol_ton_unit_name,vol_ton,weight_ton,pod_name,pol_name,arrival_at_utc,customs_progress_status_name,source_system,source_table,collected_at_utc,quality_flag,is_synthetic
KRUSN,2026,003,DSQI3,우림 드라곤 7호,석유제품운반선,KR,대한민국,MRN81541,BL410087,MBL70805,O,수입,SK2부두,액체,휘발유,1203,PORT-MIS 실선종 기반,벌크,펌프,TON,31324.3,31324.3,울산,SINGAPORE,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,175,DSQI3,우림 드라곤 7호,석유제품운반선,KR,대한민국,MRN82909,BL300966,MBL83865,O,수입,정일1부두,액체,휘발유,1203,PORT-MIS 실선종 기반,벌크,펌프,TON,48820.7,48820.7,울산,SINGAPORE,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,169,DSQI3,우림 드라곤 7호,석유제품운반선,KR,대한민국,MRN92555,BL764444,MBL43707,O,수출,제3부두,액체,휘발유,1203,PORT-MIS 실선종 기반,벌크,펌프,TON,29702.1,29702.1,울산,여수,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,172,D7DL,우황,석유제품운반선,KR,대한민국,MRN93782,BL533931,MBL99752,O,수입,제4부두,액체,휘발유,1203,PORT-MIS 실선종 기반,벌크,펌프,TON,773.6,773.6,울산,DALIAN,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,185,131062,그린오션호,석유제품운반선,KR,대한민국,MRN48294,BL282615,MBL90868,I,수입,정일1부두,액체,나프타,1268,PORT-MIS 실선종 기반,벌크,펌프,TON,7693.5,7693.5,울산,여수,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,161,131062,그린오션호,석유제품운반선,KR,대한민국,MRN79178,BL256581,MBL67687,O,수입,SK2부두,액체,나프타,1268,PORT-MIS 실선종 기반,벌크,펌프,TON,11811.0,11811.0,울산,휴스턴,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,020,DSFN9,우선호,석유제품운반선,KR,대한민국,MRN65597,BL185685,MBL74658,O,수입,OTK1부두,액체,휘발유,1203,PORT-MIS 실선종 기반,벌크,펌프,TON,10200.4,10200.4,울산,SINGAPORE,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,080,DSFN9,우선호,석유제품운반선,KR,대한민국,MRN86008,BL692244,MBL60421,O,수출,가스부두,액체,휘발유,1203,PORT-MIS 실선종 기반,벌크,펌프,TON,43331.3,43331.3,울산,SINGAPORE,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,119,DSFN9,우선호,석유제품운반선,KR,대한민국,MRN52089,BL557051,MBL66522,O,수출,가스부두,액체,등유,1223,PORT-MIS 실선종 기반,벌크,펌프,TON,5206.5,5206.5,울산,SINGAPORE,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,028,D7MB,써니 퀸,케미칼운반선,KR,대한민국,MRN25783,BL431496,MBL80145,I,수출,SK2부두,액체,아세톤,1090,PORT-MIS 실선종 기반,벌크,펌프,TON,27211.6,27211.6,울산,DALIAN,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
